PLAYER,POS,AGE,TEAM,G,MP,PER,3PAr,FTr,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,VORP,SEASON,AdjustedSalary,AdjustedPayroll,MinutesPG,TS%,AdjustedSalaryCap
Terrence Ross,SF,24,TOR,73,1747,12.9,0.542,0.099,6.1,5.3,1.6,1.2,6.6,18.2,0.6,-0.3,1,2016,3814610,76842665,23.93150685,0.551,76902331
Derrick Favors,PF,24,UTA,62,1983,21.6,0.005,0.313,14.8,8.9,2,3.9,10.1,23.9,2.1,1.2,2.6,2016,12880245,68274335,31.98387097,0.551,76902331
Gordon Hayward,SF,25,UTA,80,2893,18.3,0.341,0.397,8,18.2,1.7,0.8,12.5,25.7,2.4,0.2,3.3,2016,16539920,68274335,36.1625,0.559,76902331
Jeff Withey,C,25,UTA,51,658,17.7,0.012,0.364,15.4,5,1.7,6.8,13,15.1,-1,2,0.5,2016,1016762,68274335,12.90196078,0.577,76902331
Joe Ingles,SF,28,UTA,81,1241,10.3,0.722,0.062,7.1,12.1,2.3,0.3,17.9,13.5,-1.4,1.6,0.7,2016,2254042,68274335,15.32098765,0.572,76902331
Raul Neto,PG,23,UTA,81,1499,10.2,0.388,0.167,4.7,18.7,2.2,0.1,19.5,17.2,-2.3,0.3,0,2016,901617,68274335,18.50617284,0.53,76902331
Rodney Hood,SG,23,UTA,79,2541,14.1,0.462,0.206,6.1,14.4,1.5,0.5,10.5,21.5,0.7,0,1.7,2016,1447353,68274335,32.16455696,0.542,76902331
Rudy Gobert,C,23,UTA,61,1932,17.5,0,0.799,20.2,7.4,1.2,5.9,19.2,14.2,0,2.2,2,2016,1262135,68274335,31.67213115,0.582,76902331
Trevor Booker,PF,28,UTA,79,1632,14.4,0.106,0.273,16.2,8.2,1.9,2.1,15.7,14.6,-1,1,0.8,2016,5125264,68274335,20.65822785,0.533,76902331
Trey Burke,PG,23,UTA,64,1366,14,0.404,0.129,4.8,19.7,1.4,0.4,10.7,25.3,0.7,-1.2,0.5,2016,2853231,68274335,21.34375,0.507,76902331
Trey Lyles,PF,20,UTA,80,1382,11.6,0.294,0.188,12.6,7.1,1,1.1,12.1,17.9,-1.6,-0.2,0.1,2016,2404097,68274335,17.275,0.517,76902331
Bradley Beal,SG,22,WAS,55,1708,15.5,0.339,0.22,6.2,15.6,1.5,0.5,11.3,25.3,1.2,-0.9,1,2016,6112398,91294262,31.05454545,0.547,76902331
Garrett Temple,SF,29,WAS,80,1951,9.3,0.511,0.248,6.1,10,1.7,0.7,10.3,14,-2.5,0.4,0,2016,1181335,91294262,24.3875,0.52,76902331
Jared Dudley,PF,30,WAS,81,2098,11.7,0.489,0.201,7.6,11.4,1.7,0.7,13.1,12.7,-0.8,0.7,1,2016,4561753,91294262,25.90123457,0.602,76902331
John Wall,PG,25,WAS,77,2784,19.8,0.243,0.255,7.6,46.2,2.5,1.7,17.5,28.6,3.1,0.4,3.9,2016,15809260,91294262,36.15584416,0.51,76902331
Marcin Gortat,C,31,WAS,75,2256,19,0.001,0.271,18.4,7.5,1,3.4,12.4,18.9,0.5,0.1,1.5,2016,12040229,91294262,30.08,0.592,76902331
Nenê,PF,33,WAS,57,1094,16.8,0.008,0.482,13.2,14.1,2.4,1.9,14,21.6,-1.3,1.6,0.6,2016,13953599,91294262,19.19298246,0.564,76902331
Otto Porter,SF,22,WAS,75,2276,14.5,0.372,0.176,9.6,7.9,2.2,1.1,8.3,16.2,0.3,0.8,1.8,2016,5005005,91294262,30.34666667,0.564,76902331
Ramon Sessions,PG,29,WAS,82,1667,15.9,0.188,0.478,6.8,22,1.3,0.2,13.8,21.8,0.2,-0.5,0.7,2016,2329676,91294262,20.32926829,0.565,76902331
Al Horford,C,28,ATL,76,2318,21.4,0.037,0.146,13.4,18.6,1.5,3.5,8.9,22.2,2.6,1.5,3.6,2015,12896187,62675759,30.5,0.563,69365745
DeMarre Carroll,SF,28,ATL,70,2189,15.9,0.466,0.277,9.7,8.3,2.2,0.7,9.3,16.9,1.2,0.4,2,2015,2686705,62675759,31.27142857,0.603,69365745
Dennis Schroeder,PG,21,ATL,77,1516,15.7,0.223,0.269,6.2,34.6,1.7,0.2,16.8,27,-0.1,-1.2,0.2,2015,1816943,62675759,19.68831169,0.516,69365745
Jeff Teague,PG,26,ATL,73,2228,20.6,0.233,0.36,4.7,37.9,2.9,1.2,16.6,25.3,2.7,0.3,2.8,2015,8597458,62675759,30.52054795,0.566,69365745
Kent Bazemore,SG,25,ATL,75,1324,9.7,0.399,0.302,9.6,8.6,2,2.1,16.3,15.5,-3.2,1.1,0,2015,2149364,62675759,17.65333333,0.52,69365745
Kyle Korver,SG,33,ATL,75,2418,14.8,0.748,0.197,7.2,12.1,1.1,1.5,14.1,14.4,2.4,0.4,3,2015,6720548,62675759,32.24,0.699,69365745
Mike Scott,PF,26,ATL,68,1123,15.1,0.424,0.17,10.1,10.9,1.1,0.2,7.4,21.4,0.6,-1.1,0.4,2015,3582273,62675759,16.51470588,0.543,69365745
Paul Millsap,PF,29,ATL,73,2390,20,0.232,0.362,13.6,15.4,2.8,2.4,13.3,23.8,1.7,1.7,3.3,2015,10209481,62675759,32.73972603,0.565,69365745
Pero Antic,C,32,ATL,63,1037,9.5,0.584,0.416,10.4,6.9,0.9,1.1,12.3,17.6,-3,-1.2,-0.6,2015,1343352,62675759,16.46031746,0.508,69365745
Shelvin Mack,PG,24,ATL,55,833,13.2,0.435,0.106,5.4,28.6,1.8,0.2,13.8,19.5,-0.7,-1,0.1,2015,2615059,62675759,15.14545455,0.489,69365745
Thabo Sefolosha,SF,30,ATL,52,976,13.8,0.313,0.233,13.1,11.2,2.8,1.8,12.2,14.6,-0.8,1.8,0.8,2015,4298729,62675759,18.76923077,0.506,69365745
Avery Bradley,SG,24,BOS,77,2428,11.5,0.348,0.099,5.4,8.9,1.7,0.5,9.4,21,-1.5,-0.6,-0.1,2015,7728052,66865124,31.53246753,0.507,69365745
Brandon Bass,PF,29,BOS,82,1929,16.3,0.047,0.313,11.3,8.6,1.1,1.3,9.6,19.5,0.5,-0.5,1,2015,7469041,66865124,23.52439024,0.557,69365745
Evan Turner,SG,26,BOS,82,2260,12.8,0.16,0.189,10.1,30,1.8,0.7,19.7,19.5,-1.8,0.8,0.6,2015,3522808,66865124,27.56097561,0.482,69365745
Jae Crowder,SF,24,BOS,57,1382,14.1,0.362,0.277,10.5,9,2.1,1.1,6.9,17.9,-0.2,0.8,0.9,2015,983595,66865124,24.24561404,0.512,69365745
Jared Sullinger,PF,22,BOS,58,1566,17.9,0.26,0.182,15.4,14.2,1.4,2.1,9.3,23.6,1.3,-0.2,1.2,2015,1530906,66865124,27,0.503,69365745
Kelly Olynyk,C,23,BOS,64,1423,15.9,0.331,0.258,11.7,12.2,2.3,2.1,14.3,21.1,-0.5,0.9,0.8,2015,2230782,66865124,22.234375,0.558,69365745
Marcus Smart,PG,20,BOS,67,1808,11,0.57,0.266,6.7,16.3,2.7,0.8,14.4,15.1,-1.9,1.5,0.7,2015,3528525,66865124,26.98507463,0.491,69365745
Tyler Zeller,C,25,BOS,82,1731,18.9,0,0.3,14.7,10.8,0.5,2.3,9.8,19.6,1,0,1.3,2015,1831000,66865124,21.1097561,0.594,69365745
Alan Anderson,SG,32,BRK,74,1744,10.6,0.477,0.23,6.6,7.2,1.7,0.2,11,14.2,-1.7,0.2,0.2,2015,1371360,94375678,23.56756757,0.563,69365745
Bojan Bogdanovic,SF,25,BRK,78,1854,11.6,0.444,0.184,6.4,5.8,0.9,0.4,11.1,17.2,-0.3,-1.4,0.1,2015,3522808,94375678,23.76923077,0.562,69365745
Brook Lopez,C,26,BRK,72,2100,22.7,0.01,0.278,14.3,4.5,1.1,4.8,8.6,26.3,1.8,-0.7,1.6,2015,16892930,94375678,29.16666667,0.558,69365745
Deron Williams,PG,30,BRK,68,2114,15.7,0.307,0.313,6.3,33.7,1.6,0.6,14.9,22.3,1.1,-0.9,1.2,2015,21229773,94375678,31.08823529,0.504,69365745
Jarrett Jack,PG,31,BRK,80,2241,14.6,0.179,0.278,6.1,27.3,1.7,0.5,17.2,22.6,-0.4,-0.7,0.5,2015,6770498,94375678,28.0125,0.522,69365745
Joe Johnson,SG,33,BRK,80,2791,14.1,0.329,0.172,7.7,17.1,1.1,0.4,11.1,20.3,0.7,-0.8,1.3,2015,24911984,94375678,34.8875,0.523,69365745
Kevin Garnett,PF,38,BRK,42,854,14.8,0.022,0.149,18.7,13,2.5,1.2,13.3,18.1,-1.4,1.7,0.5,2015,12896187,94375678,20.33333333,0.486,69365745
Markel Brown,SG,23,BRK,47,781,9.1,0.305,0.271,7.7,7.4,2.1,1.2,10.3,15.3,-3,0.4,-0.1,2015,545225,94375678,16.61702128,0.459,69365745
Mason Plumlee,C,24,BRK,82,1743,18,0.006,0.648,16.5,7,1.9,2.9,14.4,19.2,-0.2,0.3,0.9,2015,1458429,94375678,21.25609756,0.57,69365745
Aaron Brooks,PG,30,CHI,82,1885,14.4,0.383,0.213,4.8,24.2,1.5,0.6,14.9,25,0.3,-1.1,0.5,2015,983595,72449358,22.98780488,0.534,69365745
Derrick Rose,PG,26,CHI,51,1530,15.9,0.325,0.224,5.7,30.7,1.2,0.8,14.9,31.7,1.6,-2.2,0.6,2015,20271598,72449358,30,0.493,69365745
Jimmy Butler,SG,25,CHI,65,2513,21.3,0.212,0.508,8.2,14.4,2.3,1,7.7,21.6,3.4,1.2,4.2,2015,2277481,72449358,38.66153846,0.583,69365745
Joakim Noah,C,29,CHI,67,2049,15.3,0.005,0.407,17.1,23,1.2,2.6,19.6,13.7,0.1,2,2.1,2015,13648465,72449358,30.58208955,0.482,69365745
Kirk Hinrich,SG,34,CHI,66,1610,6.8,0.441,0.131,4.1,13.8,1.5,0.6,15.3,13.3,-3.8,0,-0.7,2015,2933882,72449358,24.39393939,0.468,69365745
Mike Dunleavy,SF,34,CHI,63,1838,11.6,0.547,0.181,7.3,9.7,1.1,0.8,10.4,14.2,-0.3,0.2,0.9,2015,3224046,72449358,29.17460317,0.573,69365745
Nikola Mirotic,PF,23,CHI,82,1654,17.9,0.502,0.455,13.3,9.7,1.7,2.4,10.6,22.8,1.4,1,1.8,2015,5701189,72449358,20.17073171,0.556,69365745
Pau Gasol,PF,34,CHI,78,2681,22.7,0.023,0.317,18.6,14.4,0.5,4,10.7,24.7,2.9,0.6,3.7,2015,7660335,72449358,34.37179487,0.55,69365745
Taj Gibson,PF,29,CHI,62,1692,16.1,0,0.364,12.7,6.9,1.1,3.2,11.6,17.6,-0.5,0.1,0.7,2015,8597458,72449358,27.29032258,0.545,69365745
Tony Snell,SF,23,CHI,72,1412,10.2,0.531,0.148,6.8,6.8,1.2,0.6,10.8,14.1,-1.3,-0.1,0.2,2015,1582362,72449358,19.61111111,0.55,69365745
Al Jefferson,C,30,CHO,65,1992,19.7,0.005,0.163,15.1,11.6,1.2,3.3,5.9,26.3,0.9,0.7,1.8,2015,14508210,71781177,30.64615385,0.5,69365745
Bismack Biyombo,C,22,CHO,64,1243,15.2,0,0.941,18,2,0.7,6.3,16.5,11.6,-2.4,1.3,0.3,2015,4391638,71781177,19.421875,0.578,69365745
Brian Roberts,PG,29,CHO,72,1330,11.7,0.427,0.164,4.5,20.3,1.3,0.4,10.5,18.6,-1.5,-0.2,0.1,2015,2936032,71781177,18.47222222,0.495,69365745
Cody Zeller,C,22,CHO,62,1487,14.1,0.003,0.44,13.4,10.9,1.2,2.6,12.2,15.6,-2,1.4,0.5,2015,4331571,71781177,23.98387097,0.53,69365745
Gary Neal,SG,30,CHO,43,931,9.9,0.334,0.256,5.6,14.9,0.9,0.1,11,24.4,-2.7,-1.5,-0.6,2015,3492717,71781177,21.65116279,0.466,69365745
Gerald Henderson,SG,27,CHO,80,2315,13.2,0.161,0.256,6.5,15.6,1.1,0.7,10.5,20.7,-1.3,0,0.4,2015,6448093,71781177,28.9375,0.514,69365745
Jason Maxiell,PF,31,CHO,61,878,10.4,0,0.37,12.7,3.4,1.1,4,11.5,13.1,-3.8,0.6,-0.3,2015,1415151,71781177,14.39344262,0.455,69365745
Kemba Walker,PG,24,CHO,62,2119,17.6,0.285,0.288,5.7,27.1,2.2,1.2,8.3,25.9,1.7,0.6,2.3,2015,3709999,71781177,34.17741935,0.486,69365745
Lance Stephenson,SG,24,CHO,61,1573,8.8,0.191,0.2,9.7,25.4,1.2,0.4,17.6,21.1,-4.3,-0.1,-1,2015,9672140,71781177,25.78688525,0.419,69365745
Marvin Williams,PF,28,CHO,78,2035,11.8,0.535,0.176,10.4,7.8,1.8,1.4,10.1,13.3,-1.4,1.4,1,2015,7522775,71781177,26.08974359,0.541,69365745
Michael Kidd-Gilchrist,SF,21,CHO,55,1587,15.1,0,0.444,14.4,8.2,1,1.9,9.9,18.4,-1.1,0.6,0.6,2015,5391638,71781177,28.85454545,0.519,69365745
J.R. Smith,SG,29,CLE,46,1461,14.5,0.667,0.065,6.3,12.3,2.3,1,9.1,17.6,1.4,0.8,1.6,2015,6429152,88761039,31.76086957,0.565,69365745
Kevin Love,PF,26,CLE,75,2532,18.8,0.412,0.337,16.6,10.7,1,1.2,10,21.7,3.2,-0.4,3,2015,16892998,88761039,33.76,0.562,69365745
Kyrie Irving,PG,22,CLE,75,2730,21.5,0.306,0.296,5,25,2.2,0.6,11.8,26.2,4.4,-0.4,4.2,2015,8017048,88761039,36.4,0.583,69365745
LeBron James,SF,30,CLE,69,2493,25.9,0.265,0.413,9.6,38.6,2.3,1.6,15.3,32.3,6.1,1,5.7,2015,22186170,88761039,36.13043478,0.577,69365745
Matthew Dellavedova,SG,24,CLE,67,1380,8.5,0.544,0.124,5.2,21.1,0.9,0.1,15.9,12.6,-2,-0.8,-0.3,2015,877458,88761039,20.59701493,0.493,69365745
Mike Miller,SF,34,CLE,52,701,4.6,0.86,0.035,7.4,9,1,0.5,16.6,8.9,-3.7,0.3,-0.2,2015,10028935,88761039,13.48076923,0.471,69365745
Shawn Marion,SF,36,CLE,57,1101,11,0.172,0.127,10.5,6.9,1.3,1.9,10.5,12.9,-0.9,-0.1,0.3,2015,1556666,88761039,19.31578947,0.489,69365745
Timofey Mozgov,C,28,CLE,46,1148,18.7,0,0.389,15.9,5.6,0.8,3.9,15,18.1,0.4,-0.1,0.7,2015,4997272,88761039,24.95652174,0.621,69365745
Tristan Thompson,PF,23,CLE,82,2194,15.6,0,0.508,17.2,2.7,0.8,2.2,12.2,14,0.1,-1.4,0.4,2015,5826103,88761039,26.75609756,0.58,69365745
Al-Farouq Aminu,SF,24,DAL,74,1366,14.4,0.347,0.331,13.7,6.1,2.6,3.7,11.9,15.2,-0.7,1.5,1,2015,1054353,91154782,18.45945946,0.504,69365745
Chandler Parsons,SF,26,DAL,66,2186,16.3,0.419,0.233,8.1,11.4,1.6,0.7,9.5,20.6,2,-0.4,2,2015,15797829,91154782,33.12121212,0.567,69365745
Devin Harris,PG,31,DAL,76,1685,14.8,0.508,0.309,4.4,20.4,2.3,0.7,12.5,18,0.6,0.8,1.4,2015,4168580,91154782,22.17105263,0.559,69365745
Dirk Nowitzki,PF,36,DAL,77,2282,19.2,0.258,0.272,11,10.4,0.9,1.2,6.5,24.9,2.7,-0.5,2.4,2015,8570034,91154782,29.63636364,0.56,69365745
Monta Ellis,SG,29,DAL,80,2699,16.5,0.21,0.224,3.9,20.5,2.8,0.8,11.7,27.9,0,-0.1,1.3,2015,9371229,91154782,33.7375,0.509,69365745
Rajon Rondo,PG,28,DAL,46,1319,12.4,0.121,0.094,8.6,34,2.1,0.2,22.6,20.3,-1.4,-0.1,0.2,2015,13873170,91154782,28.67391304,0.46,69365745
Richard Jefferson,SF,34,DAL,74,1244,11.3,0.478,0.352,8.1,7,1.3,0.7,12.2,15.3,-0.8,0,0.4,2015,1556666,91154782,16.81081081,0.577,69365745
Tyson Chandler,C,32,DAL,75,2286,20.1,0,0.584,20.7,5.3,0.9,3.2,16,12.8,2.4,0.2,2.7,2015,15687016,91154782,30.48,0.697,69365745
Arron Afflalo,SG,29,DEN,53,1750,11.7,0.37,0.23,5.6,9.3,0.9,0.2,10.3,19.9,-0.7,-1.2,0.1,2015,8127284,61063768,33.01886792,0.533,69365745
Danilo Gallinari,SF,26,DEN,59,1426,16.8,0.53,0.336,8.3,9.4,1.6,1.1,8,21.5,2.6,-0.2,1.6,2015,11665515,61063768,24.16949153,0.563,69365745
Darrell Arthur,PF,26,DEN,58,988,11.5,0.286,0.154,9.3,9.3,2.4,2.1,10.3,20,-2.4,0.7,0.1,2015,3715336,61063768,17.03448276,0.466,69365745
Gary Harris,SG,20,DEN,55,719,4.9,0.475,0.217,4.8,5.9,2.7,0.8,13.8,16.6,-5.6,0.3,-0.6,2015,1632657,61063768,13.07272727,0.395,69365745
Jusuf Nurkic,C,20,DEN,62,1103,14.8,0.005,0.345,18.7,7.3,2.4,4.8,16.3,20.7,-3.7,0.9,-0.2,2015,1894320,61063768,17.79032258,0.483,69365745
Kenneth Faried,PF,25,DEN,75,2086,18.4,0.011,0.391,17.3,7.1,1.5,2.1,12,20.3,0.6,-0.7,1,2015,2550798,61063768,27.81333333,0.548,69365745
Randy Foye,SG,31,DEN,50,1087,11,0.654,0.137,4.2,17,1.6,0.8,12.3,19.3,-0.3,-0.9,0.2,2015,3224046,61063768,21.74,0.51,69365745
Ty Lawson,PG,27,DEN,75,2665,18.5,0.221,0.392,4.7,43,1.7,0.3,14.6,20.6,3,-0.9,2.8,2015,12461484,61063768,35.53333333,0.526,69365745
Wilson Chandler,SF,27,DEN,78,2471,13.2,0.416,0.146,10.4,8.9,1.2,0.9,9.6,20.1,0.2,-0.7,0.9,2015,7259385,61063768,31.67948718,0.523,69365745
Andre Drummond,C,21,DET,82,2502,21.4,0.002,0.38,24,3.9,1.5,4.8,9.7,22,0.6,-0.7,1.2,2015,2760170,72445049,30.51219512,0.504,69365745
Anthony Tolliver,PF,29,DET,52,1160,11.8,0.715,0.197,9,6.5,0.9,1,10.3,14.8,-0.4,-0.7,0.3,2015,3224046,72445049,22.30769231,0.58,69365745
Caron Butler,SF,34,DET,78,1623,9.3,0.553,0.154,6.6,7.3,1.4,0.2,10.4,12.9,-1.9,0.1,0.1,2015,4836070,72445049,20.80769231,0.544,69365745
Greg Monroe,PF,24,DET,69,2137,21.2,0,0.394,17.9,11.7,1.9,1.3,13,23.9,2,0,2.1,2015,5889186,72445049,30.97101449,0.549,69365745
Jodie Meeks,SG,27,DET,60,1462,14.1,0.397,0.3,3.9,8.8,2.1,0.3,8.6,20.1,-0.3,-0.2,0.5,2015,6448093,72445049,24.36666667,0.548,69365745
Jonas Jerebko,PF,27,DET,46,703,14.5,0.384,0.182,11,9.2,2,1.2,10.8,15.1,0,1,0.5,2015,4836070,72445049,15.2826087,0.564,69365745
Kentavious Caldwell-Pope,SG,21,DET,82,2587,11.2,0.457,0.163,5.4,6.8,1.9,0.5,8.3,19.5,-1.3,-0.4,0.2,2015,2979535,72445049,31.54878049,0.501,69365745
Kyle Singler,SF,26,DET,54,1287,9.4,0.534,0.103,5.9,7.9,1.3,0.9,10.3,14,-1.6,-0.1,0.1,2015,1171403,72445049,23.83333333,0.526,69365745
Andre Iguodala,SF,31,GSW,77,2069,12.3,0.427,0.23,6.7,14.6,2.1,0.9,13.9,13.3,-0.4,1.4,1.5,2015,13207355,79108608,26.87012987,0.553,69365745
Andrew Bogut,C,30,GSW,67,1583,15.8,0,0.118,18.5,15.4,1.2,5.3,22.1,13.2,-0.9,3.3,1.8,2015,13941824,79108608,23.62686567,0.565,69365745
David Lee,PF,31,GSW,49,904,17.8,0.006,0.332,15.3,13.7,1.7,2.1,12,19.6,0.1,0.8,0.7,2015,16133130,79108608,18.44897959,0.541,69365745
Draymond Green,PF,24,GSW,79,2490,16.4,0.43,0.261,14,16.1,2.4,2.9,13.5,17.2,0.7,2.8,3.5,2015,983595,79108608,31.51898734,0.54,69365745
Harrison Barnes,SF,22,GSW,82,2318,13.4,0.328,0.229,10.5,6.9,1.3,0.6,9,14.9,0.2,-0.1,1.2,2015,3277694,79108608,28.26829268,0.573,69365745
Klay Thompson,SG,24,GSW,77,2455,20.8,0.42,0.197,5.4,14.6,1.7,1.8,9.5,27.6,4.5,-0.1,4,2015,3305593,79108608,31.88311688,0.591,69365745
Leandro Barbosa,SG,32,GSW,66,982,15.3,0.29,0.192,5,14.9,2,0.6,9.5,20.5,0,0.4,0.6,2015,1556666,79108608,14.87878788,0.558,69365745
Marreese Speights,C,27,GSW,76,1207,19.5,0.028,0.276,14.5,9.9,0.8,2.1,10.2,29.1,-0.9,-1.1,0,2015,3930650,79108608,15.88157895,0.546,69365745
Shaun Livingston,PG,29,GSW,78,1468,12.9,0.005,0.23,6.7,24.2,1.6,1,19,15.9,-1.4,0.6,0.4,2015,5701189,79108608,18.82051282,0.529,69365745
Stephen Curry,PG,26,GSW,80,2613,28,0.482,0.251,7,38.6,3,0.5,14.3,28.9,8.2,1.7,7.9,2015,11423026,79108608,32.6625,0.638,69365745
Corey Brewer,SF,28,HOU,56,1407,14,0.334,0.255,8,11.5,2.1,0.8,11.2,22.4,-0.8,-0.3,0.3,2015,5053693,82588574,25.125,0.516,69365745
Donatas Motiejunas,PF,24,HOU,71,2037,14.4,0.19,0.237,11.4,10.8,1.4,1.3,13.7,19.1,-0.4,-0.1,0.8,2015,1594742,82588574,28.69014085,0.553,69365745
James Harden,SG,25,HOU,81,2981,26.7,0.378,0.561,8.5,34.6,2.6,1.6,14.9,31.3,7,1.8,8.1,2015,15791280,82588574,36.80246914,0.605,69365745
Jason Terry,SG,37,HOU,77,1641,11.4,0.724,0.108,4.1,13.8,2,0.9,13.7,14.3,-0.1,0.6,1,2015,5857018,82588574,21.31168831,0.579,69365745
Joey Dorsey,PF,31,HOU,69,854,11.1,0.007,0.572,18,4.4,2.3,2.3,18.4,11.3,-3.8,0.7,-0.2,2015,1018973,82588574,12.37681159,0.507,69365745
Josh Smith,PF,29,HOU,55,1404,15.2,0.32,0.242,12.9,17.8,1.8,3.8,16.9,24.5,-0.5,0.7,0.8,2015,16061961,82588574,25.52727273,0.5,69365745
Kostas Papanikolaou,SF,24,HOU,43,795,7.8,0.538,0.091,8.2,15.8,1.8,1.3,21.2,14.2,-2.4,0.4,0,2015,5155964,82588574,18.48837209,0.444,69365745
Patrick Beverley,PG,26,HOU,56,1727,11.3,0.607,0.113,7.6,17.2,1.7,1,12.9,16.1,-0.4,0.5,0.9,2015,983595,82588574,30.83928571,0.509,69365745
Trevor Ariza,SF,29,HOU,82,2930,12.7,0.61,0.157,8.6,11.1,2.6,0.5,12.7,16.5,-0.1,1.1,2.2,2015,9242267,82588574,35.73170732,0.539,69365745
Chris Copeland,SF,30,IND,50,828,7.4,0.539,0.145,7.4,9.9,0.7,1,15.2,21.3,-2.5,-1.2,-0.4,2015,3363755,80379271,16.56,0.468,69365745
David West,PF,34,IND,66,1895,16,0.029,0.235,13.1,20.1,1.3,2,13.7,21,0.3,1.3,1.7,2015,12896187,80379271,28.71212121,0.508,69365745
Donald Sloan,PG,27,IND,53,1107,13.1,0.369,0.217,7.1,27.5,1.1,0,14.3,18.6,0,-0.1,0.5,2015,1018973,80379271,20.88679245,0.503,69365745
George Hill,PG,28,IND,43,1267,21.5,0.361,0.267,7.8,31.4,1.8,0.9,10.3,23.8,4.1,1.2,2.3,2015,8597458,80379271,29.46511628,0.579,69365745
Ian Mahinmi,C,28,IND,61,1146,10.8,0,0.481,17.2,4.4,1.3,3.1,18.7,12.5,-3.6,1.2,-0.1,2015,4298729,80379271,18.78688525,0.516,69365745
Lavoy Allen,C,25,IND,63,1070,14.9,0,0.157,16.7,10.9,0.7,3.1,11.1,15.2,-0.5,0.5,0.6,2015,1018973,80379271,16.98412698,0.493,69365745
Luis Scola,PF,34,IND,81,1659,16.8,0.031,0.352,17.5,11,1.5,0.8,11.3,22.8,-0.5,0.2,0.7,2015,4836070,80379271,20.48148148,0.515,69365745
Rodney Stuckey,PG,28,IND,71,1874,15.4,0.187,0.286,7.3,20.2,1.5,0.4,12.2,23.4,0.1,0.2,1.1,2015,1319693,80379271,26.3943662,0.528,69365745
Roy Hibbert,C,28,IND,76,1926,15.4,0.003,0.287,15.5,7.4,0.5,5.1,11.8,21.3,-1.8,0.6,0.4,2015,16011624,80379271,25.34210526,0.501,69365745
Solomon Hill,SF,23,IND,82,2381,10.2,0.328,0.304,7.3,11.9,1.4,0.6,13.8,15.9,-2,0.5,0.3,2015,1400139,80379271,29.03658537,0.507,69365745
Blake Griffin,PF,25,LAC,67,2356,22.8,0.022,0.373,12.1,26.2,1.4,1.2,10.2,28.4,3.8,0.2,3.6,2015,18949537,91626808,35.1641791,0.551,69365745
Chris Paul,PG,29,LAC,82,2857,26,0.298,0.274,7.4,47.4,2.8,0.4,12.7,23.7,6.4,1.6,7.2,2015,21567329,91626808,34.84146341,0.596,69365745
DeAndre Jordan,C,26,LAC,82,2820,21,0.007,0.882,24.5,3.2,1.5,5.4,12.8,13.6,2.2,0.7,3.5,2015,12294497,91626808,34.3902439,0.638,69365745
Glen Davis,PF,29,LAC,74,904,10.8,0.016,0.373,10.5,6.3,2.3,1.9,11.6,16.7,-3.9,0.8,-0.3,2015,8412596,91626808,12.21621622,0.495,69365745
Jamal Crawford,SG,34,LAC,64,1703,16.6,0.434,0.3,4.1,14.9,1.8,0.7,8.8,27.6,1.9,-1.2,1.2,2015,5857018,91626808,26.609375,0.532,69365745
Matt Barnes,SF,34,LAC,76,2271,11.3,0.603,0.152,7.5,7.2,1.5,1.8,11.6,14.9,-0.5,0.2,1,2015,3649889,91626808,29.88157895,0.574,69365745
Spencer Hawes,PF,26,LAC,73,1274,9.8,0.424,0.164,11.4,10,1,3.4,12.1,17.9,-3,0.7,-0.1,2015,5701189,91626808,17.45205479,0.478,69365745
Carlos Boozer,PF,33,LAL,71,1692,16.4,0,0.202,15.7,10.3,1.2,0.6,10.2,23.7,-0.5,-1.2,0.1,2015,18054661,83337839,23.83098592,0.517,69365745
Ed Davis,PF,25,LAL,79,1840,20,0,0.403,18,8.3,1.4,4.3,9.5,14.8,1.4,0.1,1.6,2015,1054353,83337839,23.29113924,0.594,69365745
Jeremy Lin,PG,26,LAL,74,1907,15.6,0.269,0.41,5.7,28.6,2.2,1.4,17.7,21.9,0.1,-0.5,0.8,2015,16011624,83337839,25.77027027,0.539,69365745
Jordan Clarkson,PG,22,LAL,59,1476,16.9,0.203,0.265,7.1,23.8,1.8,0.7,12.6,23,1.2,-0.9,0.8,2015,545225,83337839,25.01694915,0.528,69365745
Jordan Hill,C,27,LAL,70,1874,16.2,0.014,0.216,16.4,9.5,0.9,2.3,11.1,22.7,-0.6,-1.6,-0.1,2015,9672140,83337839,26.77142857,0.494,69365745
Nick Young,SG,29,LAL,42,1000,14.2,0.473,0.311,5.3,6.9,1.2,0.9,7.5,26,0.8,-2.1,0.2,2015,5367414,83337839,23.80952381,0.52,69365745
Robert Sacre,C,25,LAL,67,1133,10.9,0.003,0.268,11.4,7.4,1.3,3.1,9.5,14.8,-2.9,-0.6,-0.4,2015,983595,83337839,16.91044776,0.449,69365745
Ronnie Price,PG,31,LAL,43,982,10.2,0.489,0.202,3.9,24.4,3.5,0.3,17.6,13.4,-3.5,0.9,-0.1,2015,1415151,83337839,22.8372093,0.455,69365745
Ryan Kelly,PF,23,LAL,52,1233,8.6,0.434,0.307,6.5,10.9,1.2,1.6,9.5,14,-3,-0.3,-0.4,2015,1773225,83337839,23.71153846,0.473,69365745
Wayne Ellington,SG,27,LAL,65,1675,11.6,0.394,0.104,6.9,10.2,1,0.1,7.2,18.5,-0.5,-1.8,-0.1,2015,1142799,83337839,25.76923077,0.504,69365745
